Track : Last Nite |  Artist : The Strokes
Track : Gold Lion |  Artist : Yeah Yeah Yeahs

Track : I Will Dare |  Artist : The Replacements
Track : Echo Beach |  Artist : Martha and the Muffins
Track : Teen Age Riot (Album Version) |  Artist : Sonic Youth
Track : She Sells Sanctuary |  Artist : The Cult
Track : The Killing Moon |  Artist : Echo & the Bunnymen
Track : Blue Monday - 2016 Remaster |  Artist : New Order
Track : When It's Over |  Artist : Wipers
Track : I Love a Man In a Uniform |  Artist : Gang Of Four
Track : Generals And Majors - 2001 Remaster |  Artist : XTC
Track : Theme For Great Cities |  Artist : Simple Minds
Track : Crash |  Artist : The Primitives
Track : Totally Wired |  Artist : The Fall
Track : Radio Free Europe |  Artist : R.E.M.
Track : The Cutter |  Artist : Echo & the Bunnymen
Track : Gigantic |  Artist : Pixies
Track : Love Will Tear Us Apart |  Artist : Joy Division
Track : 24 Hour Party People |  Artist : Happy Mondays
Track : Hungry, So Angry |  Artist : Medium Medium
Track : Tempted |  Artist : Squeeze
Track : Golden Brown |  Artist : The Stranglers
Track : Love Buzz |  Artist : Nirvana
Track : On my Radio |  Artist : The Selecter
Track : Human Fly |  Artist : The Cramps
Track : April Skies |  Artist : The Jesus and Mary Chain
Track : Mirror in the Bathroom |  Artist : The Beat
Track : Ghost Town |  Artist : The Specials
Track : Pulling Mussels (From The Shell) |  Artist : Squeeze
Track : Reward |  Artist : The Teardrop Explodes
Track : Spellbound |  Artist : Siouxsie and the Banshees
Track : How Soon Is Now? - 2011 Remaster |  Artist : The Smiths
Track : Debaser |  Artist : Pixies
Track : Birth, School, Work, Death |  Artist : The Godfathers
Track : Play For Today |  Artist : The Cure
Track : Changeling |  Artist : Simple Minds
Track : I Will Follow |  Artist : U2
Track : Waterfall - Remastered |  Artist : The Stone Roses
Track : Eighties |  Artist : Killing Joke
Track : World Shut Your Mouth |  Artist : Julian Cope
Track : Blister In The Sun |  Artist : Violent Femmes
Track : Homosapien |  Artist : Pete Shelley
Track : Rattlesnakes |  Artist : Lloyd Cole and the Commotions
Track : Happy Hour |  Artist : The Housemartins
Track : E=MC2 |  Artist : Big Audio Dynamite
Track : Making Plans For Nigel |  Artist : XTC
Track : Gentle Tuesday |  Artist : Primal Scream
Track : Duchess |  Artist : The Stranglers
Track : Dancing With Myself |  Artist : Generation X
Track : At Home He's a Tourist |  Artist : Gang Of Four
Track : Winning |  Artist : The Sound
Track : Waiting Room |  Artist : Fugazi
Track : Town Called Malice |  Artist : The Jam
Track : People Have the Power |  Artist : Patti Smith
Track : Rock the Casbah - Remastered |  Artist : The Clash
Track : Uncertain Smile |  Artist : The The
Track : I Wanna Be Adored - Remastered |  Artist : The Stone Roses
Track : This Charming Man - 2011 Remaster |  Artist : The Smiths
Track : Close To Me |  Artist : The Cure
Track : Deanna |  Artist : Nick Cave & The Bad Seeds
Track : To Hell With Poverty |  Artist : Gang Of Four
Track : All Lined Up |  Artist : Shriekback
Track : Alternative Ulster |  Artist : Stiff Little Fingers
Track : Mad World |  Artist : Tears For Fears
Track : I Love You, Suzanne |  Artist : Lou Reed
Track : Once in a Lifetime - 2005 Remaster |  Artist : Talking Heads
Track : All I Need |  Artist : my bloody valentine
Track : Hot Shot |  Artist : Herman Brood & His Wild Romance
Track : A Forest |  Artist : The Cure
Track : She Talks In Stereo |  Artist : Gary Myrick
Track : Are 'Friends' Electric? |  Artist : Gary Numan
Track : Jane Says |  Artist : Jane's Addiction

Track : Fun at the Geysers |  Artist : Mourn
Track : Space Cadets |  Artist : Spirit Mother
Track : Street Justice |  Artist : Death Valley Girls
Track : Given Up |  Artist : whenyoung
Track : Feel the Same |  Artist : Bully
Track : Just Exist |  Artist : Eliza & The Delusionals
Track : Want What You Got |  Artist : The Beaches
Track : Late Teens |  Artist : Press Club
Track : 23, Never Me |  Artist : Dead Pony
Track : Blue |  Artist : Thyla
Track : Biohazard |  Artist : Momma
Track : Deep |  Artist : ARXX
Track : Fences |  Artist : Destroy Boys
Track : Let's Go |  Artist : The Beaches
Track : Stonechild |  Artist : Friendship Commanders
